step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
107,0,2729,2729,1,44695848,2.624,2.831,63.743,34.627,57.398,0.040,45.407,2.807,112.023,122.647
108,0,2729,2729,1,44695848,2.689,2.781,63.688,34.372,57.552,0.053,44.892,2.778,111.417,121.978
109,0,2729,2729,1,44695848,2.991,3.074,64.729,7.870,56.392,0.051,68.828,7.420,136.684,157.732
110,0,2729,2729,1,44695848,3.009,3.114,65.123,64.785,56.897,0.041,17.757,2.814,86.037,97.071
111,0,2729,2729,1,44695848,23.823,2.789,65.081,8.197,56.558,0.042,69.266,6.951,137.181,178.229
112,0,2729,2729,1,44695848,2.961,3.044,64.426,7.998,56.111,0.053,69.991,7.484,137.516,158.808
113,0,2729,2729,1,44695848,23.816,2.760,64.912,8.066,56.672,0.043,69.542,6.972,137.259,177.932
114,0,2729,2729,1,44695848,2.962,3.051,64.727,8.007,56.375,0.039,45.672,2.819,113.491,124.592
115,0,2729,2729,1,44695848,2.685,2.851,64.498,8.140,58.218,0.053,69.144,6.962,136.549,156.624
116,0,2729,2729,1,44695848,24.181,3.104,66.278,65.983,57.657,0.054,69.392,6.980,138.830,179.821
117,0,2729,2729,1,44695848,2.982,3.030,64.889,8.053,56.350,0.052,69.660,7.425,137.633,159.072
118,0,2729,2729,1,44695848,24.380,3.105,65.385,8.301,56.718,0.042,69.051,6.997,137.586,178.836
119,0,2729,2729,1,44695848,24.462,3.100,65.301,8.214,56.727,0.044,68.960,7.000,137.407,178.722
120,0,2729,2729,1,44695848,24.528,3.104,65.372,7.923,57.072,0.053,71.161,6.914,139.693,181.097
121,0,2729,2729,1,44695848,2.967,3.060,64.461,64.104,58.938,0.040,69.406,7.348,136.968,158.208
122,0,2729,2729,1,44695848,2.975,3.079,65.257,8.195,56.890,0.044,69.569,6.948,137.952,158.611
123,0,2729,2729,1,44695848,2.652,2.816,329.540,329.173,323.173,0.058,69.685,8.281,402.102,423.010
124,0,2729,2729,1,44695848,2.673,2.885,181.087,180.743,172.886,0.039,18.251,2.796,202.264,212.972
125,0,2729,2729,1,44695848,2.675,2.870,71.055,70.780,62.685,0.042,18.455,2.839,92.423,103.164
126,0,2729,2729,1,44695848,23.831,2.756,65.779,8.017,57.398,0.042,70.139,6.915,138.718,179.575
127,0,2729,2729,1,44695848,24.584,2.788,71.525,71.180,63.117,0.042,70.811,8.065,145.168,187.833
128,0,2729,2729,1,44695848,2.632,2.817,64.557,64.281,58.249,0.053,70.735,6.975,138.164,158.320
129,0,2729,2729,1,44695848,2.658,2.830,65.031,7.928,56.999,0.042,46.121,2.805,114.026,124.752
130,0,2729,2729,1,44695848,2.647,2.894,64.848,8.012,56.479,0.051,18.019,2.932,85.815,96.561
131,0,2729,2729,1,44695848,23.947,2.776,64.834,64.472,59.351,0.053,70.279,6.934,137.945,178.714
132,0,2729,2729,1,44695848,2.964,3.144,64.600,8.049,56.327,0.051,70.913,6.961,138.710,158.900
133,0,2729,2729,1,44695848,24.552,3.085,65.960,8.304,57.463,0.045,69.293,6.965,138.385,179.826
