step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
137,0,2729,2675,3,44695848,2.575,3.079,667.562,667.174,659.262,1.374,69.037,8.189,741.053,761.801
138,0,2729,2675,3,44695848,2.613,3.084,594.922,594.538,586.435,1.192,44.922,2.757,644.122,654.707
139,0,2729,2675,3,44695848,2.634,3.081,457.909,457.582,449.313,1.542,69.012,8.318,531.547,552.517
140,0,2729,2675,3,44695848,2.622,3.147,514.839,514.522,506.513,1.143,18.334,2.778,537.466,548.085
141,0,2729,2675,3,44695848,2.637,3.037,581.547,581.202,573.470,1.226,68.800,8.385,654.612,675.819
142,0,2729,2676,3,44695848,23.399,3.046,545.527,545.174,537.213,1.407,68.609,8.315,618.590,660.160
143,0,2729,2675,3,44695848,2.593,3.093,525.616,525.295,517.573,1.134,69.086,8.379,598.931,619.977
144,0,2729,2675,3,44695848,2.610,3.151,277.401,277.030,268.956,1.387,45.483,2.728,327.424,338.082
145,0,2729,2675,3,44695848,2.939,3.305,228.350,228.029,220.334,1.137,44.762,2.765,277.555,288.418
146,0,2729,2675,3,44695848,2.595,3.128,394.062,393.743,385.594,1.174,68.925,8.415,467.292,488.496
147,0,2729,2675,3,44695848,2.612,3.132,448.112,447.761,440.022,1.302,18.342,2.801,470.889,481.509
148,0,2729,2676,3,44695848,2.580,3.156,537.518,537.200,529.403,1.137,44.799,2.742,586.613,596.990
149,0,2729,2675,3,44695848,2.611,3.077,684.691,684.398,676.308,1.115,69.247,8.307,758.131,779.030
150,0,2729,2675,3,44695848,2.585,3.100,390.017,389.702,381.467,1.183,68.912,8.203,463.215,484.209
151,0,2729,2675,3,44695848,2.614,3.022,336.258,335.903,328.147,1.153,45.736,2.767,386.170,396.890
152,0,2729,2675,3,44695848,23.395,3.087,181.748,181.416,173.696,1.354,69.312,8.116,255.503,297.029
153,0,2729,2675,3,44695848,2.561,3.051,602.100,601.735,593.711,1.311,44.898,2.743,651.363,661.768
154,0,2729,2675,3,44695848,2.569,3.163,433.342,432.986,425.024,1.397,15.013,2.770,452.917,463.170
155,0,2729,2675,3,44695848,2.585,3.040,159.379,159.051,150.948,1.189,69.056,8.360,232.667,253.590
156,0,2729,2676,3,44695848,2.608,3.099,394.648,394.341,386.087,1.413,68.517,8.191,467.679,489.084
157,0,2729,2675,3,44695848,2.575,3.060,292.023,291.709,283.913,1.275,69.578,8.349,365.938,386.650
158,0,2729,2675,3,44695848,2.605,3.102,525.923,525.618,517.781,1.491,45.667,2.775,576.184,586.930
159,0,2729,2675,3,44695848,2.593,3.064,447.358,447.025,439.405,1.481,44.930,2.718,496.835,507.199
160,0,2729,2676,3,44695848,2.609,3.108,315.992,315.685,307.516,1.114,17.687,2.834,337.905,348.498
161,0,2729,2675,3,44695848,2.576,3.057,291.732,291.376,283.389,1.180,68.781,8.362,364.753,385.547
162,0,2729,2675,3,44695848,24.261,3.089,454.636,454.279,446.164,1.448,66.727,8.507,525.902,568.765
163,0,2729,2675,3,44695848,2.627,3.126,324.878,324.532,316.553,1.454,18.333,2.758,347.794,358.276
164,0,2729,2676,3,44695848,2.626,3.156,317.646,317.329,309.212,1.186,68.739,8.583,390.729,412.233
165,0,2729,2675,3,44695848,2.604,3.097,265.594,265.239,257.306,1.439,45.633,2.744,315.765,326.339
166,0,2729,2675,3,44695848,2.587,3.149,246.905,246.574,238.502,1.474,68.415,8.345,319.946,340.790
167,0,2729,2675,3,44695848,2.591,3.089,255.379,255.014,247.094,1.275,69.243,8.296,328.988,349.601
168,0,2729,2675,3,44695848,2.603,3.155,332.840,332.529,324.982,1.355,45.557,2.729,382.909,393.563
169,0,2729,2675,3,44695848,2.581,3.022,106.150,105.809,97.863,1.166,68.983,8.183,179.324,200.727
170,0,2729,2675,3,44695848,2.594,3.065,402.823,402.514,394.596,1.734,47.122,3.093,454.745,465.574
171,0,2729,2675,3,44695848,2.624,3.039,371.876,371.562,363.531,1.116,70.212,7.226,446.244,466.025
172,0,2729,2675,3,44695848,2.601,3.118,657.649,657.304,649.354,1.199,19.173,3.091,681.141,691.779
